element,q,E_elem_total_Ha
H,-1.5000,-0.0272808493
H,-1.4500,-0.0667856791
H,-1.4000,-0.1046557288
H,-1.3500,-0.1408909983
H,-1.3000,-0.1754914877
H,-1.2500,-0.2084571969
H,-1.2000,-0.2397881261
H,-1.1500,-0.2694842750
H,-1.1000,-0.2975456438
H,-1.0500,-0.3239722325
H,-1.0000,-0.3487640410
H,-0.9500,-0.3719210694
H,-0.9000,-0.3934433177
H,-0.8500,-0.4133307858
H,-0.8000,-0.4315834737
H,-0.7500,-0.4482013815
H,-0.7000,-0.4631845092
H,-0.6500,-0.4765328567
H,-0.6000,-0.4882464241
H,-0.5500,-0.4983252114
H,-0.5000,-0.5067692185
H,-0.4500,-0.5135784454
H,-0.4000,-0.5187528922
H,-0.3500,-0.5222925589
H,-0.3000,-0.5241974454
H,-0.2500,-0.5244675518
H,-0.2000,-0.5231028780
H,-0.1500,-0.5201034241
H,-0.1000,-0.5154691901
H,-0.0500,-0.5092001759
H,-0.0000,-0.5012963816
H,0.0500,-0.4917578071
H,0.1000,-0.4805844525
H,0.1500,-0.4677763177
H,0.2000,-0.4533334028
H,0.2500,-0.4372557077
H,0.3000,-0.4195432326
H,0.3500,-0.4001959772
H,0.4000,-0.3792139417
H,0.4500,-0.3565971261
H,0.5000,-0.3323455303
H,0.5500,-0.3064591544
H,0.6000,-0.2789379984
H,0.6500,-0.2497820622
H,0.7000,-0.2189913458
H,0.7500,-0.1865658494
H,0.8000,-0.1525055727
H,0.8500,-0.1168105160
H,0.9000,-0.0794806791
H,0.9500,-0.0405160620
H,1.0000,0.0000833352
H,1.0500,0.0423175125
H,1.1000,0.0861864700
H,1.1500,0.1316902077
H,1.2000,0.1788287254
H,1.2500,0.2276020233
H,1.3000,0.2780101014
H,1.3500,0.3300529596
H,1.4000,0.3837305979
H,1.4500,0.4390430164
H,1.5000,0.4959902151
O,-1.5000,-74.9409264212
O,-1.4500,-74.9590314797
O,-1.4000,-74.9760450272
O,-1.3500,-74.9919670636
O,-1.3000,-75.0067975889
O,-1.2500,-75.0205366031
O,-1.2000,-75.0331841062
O,-1.1500,-75.0447400982
O,-1.1000,-75.0552045792
O,-1.0500,-75.0645775490
O,-1.0000,-75.0728590078
O,-0.9500,-75.0800489554
O,-0.9000,-75.0861473920
O,-0.8500,-75.0911543175
O,-0.8000,-75.0950697318
O,-0.7500,-75.0978936351
O,-0.7000,-75.0996260273
O,-0.6500,-75.1002669085
O,-0.6000,-75.0998162785
O,-0.5500,-75.0982741374
O,-0.5000,-75.0956404853
O,-0.4500,-75.0919153220
O,-0.4000,-75.0870986477
O,-0.3500,-75.0811904622
O,-0.3000,-75.0741907657
O,-0.2500,-75.0660995581
O,-0.2000,-75.0569168394
O,-0.1500,-75.0466426096
O,-0.1000,-75.0352768687
O,-0.0500,-75.0228196168
O,-0.0000,-75.0092708537
O,0.0500,-74.9946305795
O,0.1000,-74.9788987943
O,0.1500,-74.9620754980
O,0.2000,-74.9441606905
O,0.2500,-74.9251543720
O,0.3000,-74.9050565424
O,0.3500,-74.8838672017
O,0.4000,-74.8615863499
O,0.4500,-74.8382139870
O,0.5000,-74.8137501131
O,0.5500,-74.7881947280
O,0.6000,-74.7615478319
O,0.6500,-74.7338094246
O,0.7000,-74.7049795063
O,0.7500,-74.6750580769
O,0.8000,-74.6440451363
O,0.8500,-74.6119406847
O,0.9000,-74.5787447220
O,0.9500,-74.5444572483
O,1.0000,-74.5090782634
O,1.0500,-74.4726077674
O,1.1000,-74.4350457604
O,1.1500,-74.3963922422
O,1.2000,-74.3566472130
O,1.2500,-74.3158106726
O,1.3000,-74.2738826212
O,1.3500,-74.2308630587
O,1.4000,-74.1867519851
O,1.4500,-74.1415494004
O,1.5000,-74.0952553046
