
Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 11:57:59 2026
Timers Off: Sat Jul 18 11:57:59 2026

Wall Time:        0.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 12:00:00 2026
Timers Off: Sat Jul 18 12:00:36 2026

Wall Time:       36.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.933u      0.067s      0.605w     53 calls
build grid                          :      0.533u      0.033s      0.340w     53 calls
post-process grid                   :      0.400u      0.033s      0.263w     53 calls
DFH: sparsity prep                  :      0.050u      0.033s      0.056w     53 calls
Libint2ERI::Libint2ERI              :      0.133u      0.050s      0.096w    371 calls
DFH: initialize()                   :      0.333u      0.067s      0.913w     53 calls
DFH: AO Construction                :      0.133u      0.000s      0.065w     53 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.035w     53 calls
HF: Form core H                     :      0.017u      0.033s      0.183w     53 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w     53 calls
HF: Guess                           :      0.617u      0.300s      1.421w     53 calls
SAD Guess                           :      0.583u      0.267s      1.369w     50 calls
HF: Form G                          :     27.450u      0.850s     17.063w    514 calls
RV: Form V                          :     27.217u      0.800s     16.929w    514 calls
Properties                          :     11.800u      0.217s      7.000w 314981 calls
Functional                          :     10.933u      0.133s      6.656w 314981 calls
V_xc                                :      8.617u      0.083s      5.541w 285541 calls
JK: D                               :      0.000u      0.000s      0.001w    514 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    514 calls
JK: JK                              :      0.217u      0.033s      0.114w    514 calls
DFH: compute_JK()                   :      0.200u      0.033s      0.113w    514 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    514 calls
DFH: compute_J                      :      0.050u      0.000s      0.025w    514 calls
DFH: compute_K                      :      0.150u      0.000s      0.069w    514 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    514 calls
HF: Form F                          :      0.000u      0.000s      0.002w    514 calls
HF: Form D                          :      0.000u      0.017s      0.001w    514 calls
HF: DIIS                            :      1.450u      0.217s      1.283w    464 calls
HF: Form C                          :      0.150u      0.000s      0.095w    464 calls
Grad: V T Perturb                   :      0.050u      0.000s      0.012w     53 calls
Grad: S                             :      0.017u      0.000s      0.003w     53 calls
Grad: JK                            :      0.933u      0.217s      1.292w     53 calls
JKGrad: Amn                         :      0.133u      0.050s      0.133w     53 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     53 calls
JKGrad: AB                          :      0.217u      0.033s      0.114w     53 calls
JKGrad: UV                          :      0.000u      0.000s      0.003w     53 calls
JKGrad: ABx                         :      0.100u      0.017s      0.050w     53 calls
JKGrad: Amnx                        :      0.483u      0.033s      0.360w     53 calls
Grad: XC                            :      7.617u      0.117s      4.645w     53 calls
V_xc gradient                       :      2.833u      0.000s      1.819w  29440 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.933u      0.067s      0.605w     53 calls
| build grid                        :      0.533u      0.033s      0.340w     53 calls
| post-process grid                 :      0.400u      0.033s      0.263w     53 calls
DFH: sparsity prep                  :      0.050u      0.033s      0.056w     53 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.033s      0.034w     53 calls
DFH: initialize()                   :      0.333u      0.067s      0.913w     53 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.019w    106 calls
| DFH: AO Construction              :      0.133u      0.000s      0.065w     53 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.035w     53 calls
HF: Form core H                     :      0.017u      0.033s      0.183w     53 calls
